ID_Helper,ID_Objectif,ID_Localite,ID_Tache,Designation,Qte_Prevue,Taches,Poids,Qte_Realisee,Taux_Realisation,Qte_Prevue_Total,Avancement_Pondere,Localite,Nom_Geo_1,Categorie
HC-112,6c745148,ATA_Nat_07,P2AE_PBA_BT,PBA 9A650,15.0,PBA_BT,0.42,14.0,0.9333333333333333,49.0,0.12000000000000001,Boriyouré,ATACORA,Travaux BT
HC-113,703ee8ad,ATA_Nat_07,P2AE_PBA_BT,PBA 9C650,5.0,PBA_BT,0.42,4.0,0.8,49.0,0.03428571428571429,Boriyouré,ATACORA,Travaux BT
HC-114,a1207f30,ATA_Nat_07,P2AE_PBA_HTA,PBA 11A1250,1.0,PBA_HTA,0.3,1.0,1.0,15.0,0.02,Boriyouré,ATACORA,Travaux HTA
HC-115,48e94bf8,ATA_Nat_07,P2AE_PBA_HTA,PBA 12A800,1.0,PBA_HTA,0.3,1.0,1.0,15.0,0.02,Boriyouré,ATACORA,Travaux HTA
HC-116,75c8e317,ATA_Nat_07,P2AE_PBA_HTA,PBA 13A400,7.0,PBA_HTA,0.3,2.0,0.2857142857142857,15.0,0.039999999999999994,Boriyouré,ATACORA,Travaux HTA
HC-117,d0a63fec,ATA_Nat_07,P2AE_PBA_HTA,PBA 13C800,5.0,PBA_HTA,0.3,5.0,1.0,15.0,0.09999999999999999,Boriyouré,ATACORA,Travaux HTA
HC-118,082de73e,ATA_Nat_07,P2AE_Cable_HTA,ASTER 54mm²,55.0,Cable_HTA,0.3333,0.0,0.0,255.0,0.0,Boriyouré,ATACORA,Travaux HTA
HC-119,aa15697f,ATA_Nat_07,P2AE_Cable_HTA,ASTER 75mm²,200.0,Cable_HTA,0.3333,0.0,0.0,255.0,0.0,Boriyouré,ATACORA,Travaux HTA
HC-120,e1b6ea09,ATA_Nat_07,P2AE_Cable_BT,PRC 50mm²,2930.0,Cable_BT,0.3111,1085.0,0.3703071672354949,3435.0,0.09826593886462882,Boriyouré,ATACORA,Travaux BT
HC-121,98d97d07,ATA_Nat_07,P2AE_Cable_BT,PRC 70mm²,505.0,Cable_BT,0.3111,0.0,0.0,3435.0,0.0,Boriyouré,ATACORA,Travaux BT
HC-122,47f701e3,ATA_Nat_07,P2AE_DMT,Point Double DMT-CC,1.0,DMT-CC,0.0833,0.0,0.0,1.0,0.0,Boriyouré,ATACORA,Travaux HTA
