ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-264,00703b48,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 13A400,cd39f595,U,7.0,3.0,4.0,0.42857142857142855,0.3,14.0,0.06428571428571428,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-265,6ee66905,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 13C1250,50dc40e9,U,1.0,0.0,1.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-266,3ed5849d,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 13C800,d6344558,U,4.0,0.0,4.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-966,P2AE-OBJ-117b49a8,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 11C650,26e8ec03,U,1.0,0.0,1.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-272,79e436b2,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_TFO,Travaux HTA,Transformateur 160 kVA,8ae558c8,U,1.0,0.0,1.0,0.0,0.1667,1.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-274,5fac86af,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_Terre,Travaux BT,Mise à la terre,002f1a3d,U,36.0,0.0,36.0,0.0,0.0667,36.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-417,5e531320,ALI_Kan_06,Fafa,ALIBORI,Kandi,P2AE_Cable_BT,Travaux BT,PRC 50mm²,8e6b4946,m,2320.0,1772.5,547.5,0.7640086206896551,0.3111,3360.0,0.1641145089285714,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-418,a84ed8dd,ALI_Kan_06,Fafa,ALIBORI,Kandi,P2AE_Cable_BT,Travaux BT,PRC 70mm²,59dc5a38,m,1040.0,0.0,1040.0,0.0,0.3111,3360.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-416,605l67563,ALI_Kan_06,Fafa,ALIBORI,Kandi,P2AE_Cable_HTA,Travaux HTA,ASTER 54mm²,e9e0a228,m,100.0,58.18,41.82,0.5818,0.3333,100.0,0.19391393999999998,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-419,609f3b2f,ALI_Kan_06,Fafa,ALIBORI,Kandi,P2AE_DMT,Travaux HTA,Point Double DMT-CC,a4425df9,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
